Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,power,temp_diff,wear_rate,torque_per_wear,strain_index,power_per_temp,hdf_risk_flag,pwf_risk_flag,osf_risk_flag,twf_risk_flag,rpm_outlier_flag,torque_outlier_flag,thermal_torque_stress,rotational_load_on_worn_tool,power_absorbed_by_wear,thermal_stress_on_worn_tool,speed_heat_imbalance,is_low_quality,is_high_quality,rpm_zscore,torque_zscore,power_zscore,wear_zscore,temp_diff_zscore,high_wear_flag,high_torque_flag,low_rpm_flag,high_temp_flag,power_anomaly_flag,torque_squared,wear_squared,power_squared,temp_diff_squared,sqrt_power,sqrt_wear,log_power,log_strain,distance_to_twf,distance_to_hdf_temp,distance_to_hdf_rpm,distance_to_pwf_lower,distance_to_pwf_upper,distance_to_osf,risk_score
1,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,66382.8,10.5,0.0,42.8,0.0,215.1095,0,0,0,0,0,0,13208.08,0.0,0.0,0.0,16285.5,0,0,0.0682,0.2822,0.6294,-1.6959,0.4988,0,0,0,0,0,1831.84,0,4406676135.84,110.25,257.6486,0.0,11.1032,0.0,200,1.9,171,26382.8,13617.2,12000.0,0
0,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,65190.4,10.5,0.0021,11.575,138.9,211.1772,0,0,0,0,0,0,14292.81,195571.2,195571.2,31.5,14784.0,1,0,-0.7294,0.6333,0.5124,-1.6488,0.4988,0,0,0,0,0,2143.69,9,4249788252.16,110.25,255.3241,1.7321,11.0851,4.9409,197,1.9,28,25190.4,14809.6,10861.1,0
0,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,74001.2,10.4,0.0033,8.2333,247.0,239.8742,0,0,0,0,0,0,15239.9,370006.0,370006.0,52.0,15579.2,1,0,-0.2274,0.9442,1.3768,-1.6173,0.3989,0,0,0,0,0,2440.36,25,5476177601.44,108.16,272.0316,2.2361,11.2119,5.5134,195,1.8,118,34001.2,5998.8,10753.0,0
0,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,56603.5,10.4,0.0049,4.9375,276.5,183.4203,0,0,0,0,0,0,12189.7,396224.5,396224.5,72.8,14903.2,1,0,-0.59,-0.0488,-0.33,-1.5859,0.3989,0,0,0,0,0,1560.25,49,3203956212.25,108.16,237.9149,2.6458,10.9438,5.6258,193,1.8,53,16603.5,23396.5,10723.5,0
0,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,56320.0,10.5,0.0064,4.0,360.0,182.4425,0,0,0,0,0,0,12348.0,506880.0,506880.0,94.5,14784.0,1,0,-0.7294,0.0013,-0.3578,-1.5545,0.4988,0,0,0,0,0,1600.0,81,3171942400.0,110.25,237.3184,3.0,10.9388,5.8889,191,1.9,28,16320.0,23680.0,10640.0,0
1,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,59707.5,10.5,0.0077,3.4917,460.9,193.4786,0,0,0,0,0,0,12930.34,656782.5,656782.5,115.5,14962.5,0,0,-0.6346,0.1919,-0.0255,-1.5231,0.4988,0,0,0,0,0,1755.61,121,3564985556.25,110.25,244.3512,3.3166,10.9972,6.1353,189,1.9,45,19707.5,20292.5,11539.1,0
0,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,66059.2,10.5,0.009,2.8267,593.6,214.0609,0,0,0,0,0,0,13084.64,924828.8,924828.8,147.0,16359.0,1,0,0.1072,0.2421,0.5977,-1.476,0.4988,0,0,0,0,0,1797.76,196,4363817904.64,110.25,257.0198,3.7417,11.0983,6.3879,186,1.9,178,26059.2,13940.8,10406.4,0
0,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,61385.4,10.5,0.0105,2.3647,643.2,198.9157,0,0,0,0,0,0,12405.72,982166.4,982166.4,168.0,16033.5,1,0,-0.0657,0.0214,0.1391,-1.4445,0.4988,0,0,0,0,0,1616.04,256,3768167333.16,110.25,247.7608,4.0,11.0249,6.468,184,1.9,147,21385.4,18614.6,10356.8,0
1,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,47676.2,10.4,0.0108,1.5053,514.8,154.4419,0,0,0,0,0,0,8828.82,858171.6,858171.6,187.2,17336.8,0,0,0.7152,-1.1422,-1.2058,-1.4131,0.3989,0,0,0,0,0,817.96,324,2273020046.44,108.16,218.3488,4.2426,10.7722,6.2457,182,1.8,287,7676.2,32323.8,11485.2,0
1,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,48748.0,10.5,0.0121,1.2727,588.0,157.7605,0,0,0,0,0,0,8652.0,1023708.0,1023708.0,220.5,18280.5,0,0,1.128,-1.2024,-1.1007,-1.366,0.4988,0,0,0,0,0,784.0,441,2376367504.0,110.25,220.7895,4.5826,10.7944,6.3784,179,1.9,361,8748.0,31252.0,11412.0,0
