UDI,Product ID,Type,air_temp,process_temp,rpm,torque,tool_wear,Machine failure,TWF,HDF,PWF,OSF,RNF,power,temp_diff,wear_rate,torque_per_wear,strain_index,power_per_temp,rpm_zscore,torque_zscore,power_zscore,wear_zscore,temp_diff_zscore,high_wear_flag,high_torque_flag,low_rpm_flag,high_temp_flag,power_anomaly_flag
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,66382.79999999999,10.5,0.0,42.8,0.0,215.10952689565775,0.06818173099917732,0.2821856456835621,0.6294117404365127,-1.6958989430213873,0.49882437951975284,0,0,0,0,0
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,65190.399999999994,10.5,0.0021291696238466998,11.575,138.89999999999998,211.17719468739875,-0.7294350306630083,0.6332763537279071,0.5124305751559494,-1.6487692561350764,0.49882437951975284,0,0,0,0,0
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,74001.2,10.399999999999977,0.00333555703802535,8.233333333333333,247.0,239.8742301458671,-0.22743846737911524,0.9442424094243271,1.376819749136151,-1.6173494648775357,0.3989336412856047,0,0,0,0,0
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,56603.5,10.400000000000034,0.0048814504881450485,4.9375,276.5,183.42028515878158,-0.5899915408619268,-0.048842736186820036,-0.32999274600110606,-1.585929673619995,0.3989336412856615,0,0,0,0,0
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,56320.0,10.5,0.0063875088715401,4.0,360.0,182.44250080984776,-0.7294350306630083,0.0013130792480863895,-0.357805694975477,-1.5545098823624544,0.49882437951975284,0,0,0,0,0
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,59707.5,10.5,0.007713884992987377,3.4916666666666667,460.9,193.47861309138042,-0.6346134575982729,0.19190517790073067,-0.025472839064784238,-1.5230900911049137,0.49882437951975284,0,0,0,0,0
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,66059.2,10.5,0.008980115458627326,2.8266666666666667,593.6,214.06092028515874,0.10722590814348011,0.2420609933356371,0.597664755293281,-1.4759604042186025,0.49882437951975284,0,0,0,0,0
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,61385.4,10.5,0.010471204188481676,2.364705882352941,643.2,198.91574854180166,-0.06568401920986082,0.021375405422049246,0.13913861449464066,-1.4445406129610618,0.49882437951975284,0,0,0,0,0
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,47676.200000000004,10.399999999999977,0.01079136690647482,1.5052631578947369,514.8000000000001,154.44185293164887,0.715199523676195,-1.14223951266778,-1.205811227055431,-1.4131208217035212,0.3989336412856047,0,0,0,0,0
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,48748.0,10.5,0.012055109070034443,1.2727272727272727,588.0,157.76051779935275,1.1279522534873958,-1.2024264911896678,-1.100661601973489,-1.36599113481721,0.49882437951975284,0,0,0,0,0
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,42589.799999999996,10.5,0.01346045989904655,0.956,573.5999999999999,137.87568792489478,1.3566395767611694,-1.6137041777559007,-1.7048157549680953,-1.318861447930899,0.49882437951975284,0,0,0,0,0
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,63038.899999999994,10.5,0.020365168539325844,1.4766666666666666,1284.6999999999998,203.9433840181171,-0.6457689367823594,0.4326530919882814,0.3013562904351065,-1.2403119697870473,0.49882437951975284,0,0,0,0,0
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,68422.90000000001,10.5,0.025373134328358207,1.46,1737.4,221.36169524425753,-1.1142990625139928,1.1147721819030092,0.8295570568478517,-1.1617624916431957,0.49882437951975284,0,0,1,0,0
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,52260.0,10.599999999999966,0.021227768215720023,0.7894736842105263,1110.0,169.01681759379042,1.1335299930794391,-1.0018032294500423,-0.7561145938677021,-1.1146328047568845,0.5987151177538442,0,0,0,0,0
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,39886.0,10.599999999999966,0.019646365422396856,0.4780487804878049,784.0,128.9974126778784,2.767807693548113,-2.0450441904960956,-1.9700737847278973,-1.0675031178705736,0.5987151177538442,0,0,0,0,0
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,74632.8,10.599999999999966,0.027219701879455604,1.1255813953488372,2032.8,241.37386804657183,0.017982074670788016,0.8439307785545143,1.4387832714367252,-1.036083326613033,0.5987151177538442,0,0,0,0,0
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,61092.6,10.599999999999966,0.03353658536585366,1.0355555555555556,2050.4,197.58279430789133,-1.270475771091204,0.6633698429888514,0.11041328306714196,-1.0046635353554922,0.5987151177538442,0,0,1,0,0
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,64296.0,10.5,0.03330970942593905,0.9500000000000001,2143.2000000000003,207.9430789133247,-0.7182795514789218,0.5630582121190385,0.424684890631515,-0.9575338484691812,0.49882437951975284,0,0,0,0,0
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,71177.0,10.399999999999977,0.03825554705432287,1.0686274509803921,2725.0,230.19728331177234,-1.2983644690514204,1.4558317268603729,1.0997498003057515,-0.9104041615828701,0.3989336412856047,0,0,1,0,0
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,53040.0,10.400000000000034,0.03368034292712799,0.5803571428571429,1787.5,171.48399612027157,0.519978637954681,-0.75102415227551,-0.6795921945731366,-0.8318546834390184,0.3989336412856615,0,0,0,0,0
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,58712.50000000001,10.400000000000034,0.04215116279069767,0.7237288135593221,2476.6000000000004,189.8237956676366,-0.9135004372004357,0.27215448259658137,-0.12308795098541504,-0.7847249965527073,0.3989336412856615,0,0,1,0,0
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,64959.99999999999,10.5,0.043418332184700204,0.7,2822.3999999999996,210.02263174911087,-0.4951699677971915,0.4828089074231878,0.4898270356720161,-0.7061755184088556,0.49882437951975284,0,0,0,0,0
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,48536.7,10.400000000000034,0.04108723135271808,0.46515151515151515,1995.5,156.92434529582928,0.23551391876047498,-0.9315850878411732,-1.1213913237311066,-0.6747557271513149,0.3989336412856615,0,0,0,0,0
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,45180.6,10.399999999999977,0.038658328595793066,0.372463768115942,1747.6,146.02650290885586,1.2227738265521313,-1.4331432421902375,-1.4506436625419923,-0.6276260402650039,0.3989336412856047,0,0,0,0,0
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,58225.299999999996,10.399999999999977,0.04481434058898848,0.5253521126760563,2611.0,188.18778280542986,0.12395912691960988,-0.2695283241004086,-0.1708850188524832,-0.5962062490074632,0.3989336412856047,0,0,0,0,0
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,43361.3,10.5,0.03920515574650913,0.31486486486486487,1700.9,140.10113085621973,1.7972810045325867,-1.6738911562777883,-1.6291272536145598,-0.5490765621211522,0.49882437951975284,0,0,0,0,0
